CustomerID,Age,Gender,City,State,No_of_orders_placed,Sign_up_date,Last_order_placed_date,is_premium_member,Women’s_Clothing,Men’s_Clothing,Kid’s_Clothing,Home_&_Living,Beauty,Electronics,Preferred_Theme
CusID_02208,33.0,Female,Munich,Bavaria,10.0,2018-10-18,2021-10-08,0,8.705895467159838,3.218495922299117,8.497212071478469,8.167964637095134,8.854439828866461,2.600845216776221,Old_UI
CusID_01191,22.0,Female,New York City,New York,3.0,2016-08-15,2021-08-28,0,9.618878959320968,3.0,5.45480774513858,7.597420585216367,8.0794073112123,1.6077058442193466,New_UI
CusID_03532,34.0,Male,New York City,New York,,2016-09-09,2020-09-20,0,1.0,6.590286699326004,3.645554520121353,3.2316371767201826,2.0,7.949033723447174,Old_UI
CusID_07065,45.0,Male,New York City,New York,8.0,2017-03-05,2020-10-22,0,0.3650921801976842,7.925452353477932,7.659057633756715,5.13529412807056,1.0,7.920696052066437,Old_UI
CusID_01095,45.0,Male,Budapest,Central Hungary,4.0,2017-09-04,2021-09-28,0,0.3392794810268955,6.07348289367464,5.619033579749257,1.5422063933017498,0.6767073114849849,-55.0,New_UI
CusID_07087,29.0,Female,San Francisco,California,0.0,2019-06-25,2020-05-01,1,-55.0,3.1722575059804017,0.3445191688746458,9.77936276298782,4.0,4.0,New_UI
CusID_05916,34.0,Female,Mumbai,Maharashtra,9.0,2016-07-09,2020-01-15,0,9.529694489709511,1.123778436006843,3.0,7.72711822517622,7.882957199381519,2.798948453472629,Old_UI
CusID_08128,37.0,Female,Mumbai,Maharashtra,9.0,2016-10-08,2020-04-23,0,9.837687481462758,0.7804759457336644,7.9957352671015185,6.45154422791909,9.698376802991108,5.455363916418722,Old_UI
CusID_01937,35.0,Male,Chennai,Tamil Nadu,13.0,2019-04-23,2021-09-19,1,3.0,8.491794353051583,7.000413087336321,4.5105571187118185,1.8815835333138424,7.137331253381428,Old_UI
CusID_05966,21.0,Male,Kolkata,West Bengal,10.0,2018-04-05,2021-10-07,0,0.7253954419769655,9.38362721683492,1.5476855222460533,3.761151582992649,2.4378405354834776,8.013847256090264,New_UI
CusID_05571,23.0,Female,Los Angeles,California,3.0,2018-07-04,2021-03-08,0,7.175009503080963,0.9167212930824592,5.659465223023582,6.452793851447793,5.0,0.9055052858002414,New_UI
CusID_07909,31.0,Female,Vancouver,British Columbia,13.0,2017-01-15,2020-11-30,1,4.1780678531436655,0.3513983015337003,9.061857308517949,2.0,7.841121181510973,0.4480685360847481,New_UI
CusID_08305,41.0,Male,Sydney,New South Wales,12.0,2017-12-09,2020-01-08,1,0.7103797592298493,5.176442393181205,5.823005596092654,2.6229281408222134,2.0,7.10323720559199,Old_UI
CusID_04549,21.0,Not_Specified,Bercelona,Catalonia,11.0,2018-02-28,2020-11-21,1,2.839830119241699,3.82090093785778,4.974006954786299,5.990253949916205,5.033538187417657,3.9271169023591983,New_UI
CusID_07697,21.0,Not_Specified,London,England,12.0,2018-07-27,2021-08-07,1,3.0180753514152423,3.204126006278951,,4.849439686892168,0.6128091118096699,6.136491778732165,New_UI
CusID_08158,24.0,Male,Bercelona,Catalonia,4.0,2016-10-31,2021-04-06,0,1.0,9.477720254856637,2.117003355475194,2.9209071227180137,3.0098783202092707,0.0,New_UI
CusID_06917,27.0,Not_Specified,Florence,Tuscany,15.0,2017-06-18,2021-02-07,1,2.0446063734337363,5.805778715283189,5.910247020116016,0.0279510844246392,6.661914108435577,5.467043044340455,Old_UI
CusID_05218,35.0,Male,Shinjuku,Tokyo,6.0,2017-09-29,2021-10-31,0,2.0,9.165003477145332,,4.947114190727948,2.0,4.9826961534177485,Old_UI
CusID_08837,33.0,Not_Specified,Mumbai,Maharashtra,15.0,2017-03-28,2020-04-12,1,2.5704584508968047,3.679085502740562,6.413316358577138,5.158428449108578,0.1773003548874405,6.5521731431171295,Old_UI
CusID_05931,22.0,Female,Kolkata,West Bengal,9.0,2019-06-15,2021-06-21,0,5.873118886000307,1.2901712070544529,5.74392482002532,8.110579243491856,8.324123735111762,3.184012698573966,New_UI
CusID_05084,29.0,Female,Vienna,Vienna,5.0,2016-11-14,2021-03-21,0,8.539894613895001,2.0,,7.745137620526007,-2.0,1.6708752595931735,New_UI
CusID_02428,34.0,Female,Munich,Bavaria,7.0,2017-07-26,2020-07-21,0,0.0,3.0,8.700066788676695,6.804178143999638,6.805426876056528,2.647962258579299,Old_UI
CusID_05703,33.0,Female,Shinjuku,Tokyo,10.0,2017-03-03,2021-02-08,0,7.414129160120761,0.2019694102099112,0.0,9.44939687953744,1.0,1.4900825332469316,Old_UI
CusID_06971,17.0,Not_Specified,San Francisco,California,13.0,2019-08-31,2020-06-17,1,1.4563495579947143,2.716326175849122,6.061303715690454,3.5476005413573986,1.2502263271462437,8.612878227000513,New_UI
CusID_00015,44.0,Male,Vancouver,British Columbia,,2019-10-02,2020-02-02,0,0.42247618188097,8.961779164517289,3.4017682839714745,4.51172676305883,1.444097983674974,8.93633141480785,New_UI
CusID_06544,29.0,Female,Shinjuku,Tokyo,5.0,2017-09-14,2020-08-11,0,9.21084144960976,4.768985161196356,0.4365063078028494,7.463480417872401,8.516526814928703,3.228093563316744,New_UI
CusID_02616,35.0,Male,Los Angeles,California,8.0,2018-10-08,2021-11-06,0,2.667474150399568,4.0,7.0951884456366825,4.976996805922719,1.7884919966520676,5.025484700186226,New_UI
CusID_00618,35.0,Female,Paris,Ile-De-France,7.0,2019-01-14,2021-01-25,0,8.23658205011146,4.0,7.03676433360865,6.817092785003919,7.303504815848053,1.1475701799809463,New_UI
CusID_08260,34.0,Female,Kolkata,West Bengal,9.0,2016-03-02,2020-01-02,0,8.094934039611045,3.494330186942721,8.170395292120169,6.306918830718103,-9.12815488030558,1.54788203556879,New_UI
CusID_04513,33.0,Not_Specified,Chennai,Tamil Nadu,15.0,2018-05-15,2021-08-21,1,3.919569473311409,2.692681598059852,2.3852856952843178,2.4431171296746994,11.261671527206733,5.100926804138099,Old_UI
CusID_09728,24.0,Female,Budapest,Central Hungary,7.0,2018-01-08,2021-05-01,0,9.612475594728288,0.8666866307620704,5.289433556084876,6.2636229715923735,4.0,5.058045658062394,Old_UI
CusID_02942,38.0,Male,Shinjuku,Tokyo,9.0,2019-02-17,2021-03-30,0,5.016265724754759,9.96486923641714,8.180834774843289,4.939655902958159,0.7628953672837442,-44.0,Old_UI
CusID_06506,38.0,Male,Paris,Ile-De-France,9.0,2016-03-01,2020-12-07,0,1.0,7.070619200936108,-3.0,1.7377571146900264,2.0,6.724439947584914,Old_UI
CusID_02841,17.0,Male,London,England,9.0,2016-08-23,2021-12-01,0,4.10104249998496,7.365497419548942,1.815124985463626,2.9937893381579257,0.280740517594548,-22.0,New_UI
CusID_03661,18.0,Female,Mumbai,Maharashtra,10.0,2016-01-18,2021-11-05,1,5.945104904085307,3.500292095380796,5.821352079695573,8.873688670588518,-5.570843807624961,0.5510537838815794,New_UI
CusID_02267,18.0,Not_Specified,Los Angeles,California,12.0,2018-11-29,2021-08-10,1,2.13817640275157,1.5204978222924574,3.1127678106834225,3.0,3.136368701512497,3.1785214751338167,New_UI
CusID_03033,33.0,Male,Perth,Western Australia,9.0,2019-10-28,2021-10-28,0,3.834270249440048,5.334372164054735,3.6916399730286313,0.5069604929041632,3.0,1.0,New_UI
CusID_01353,29.0,Female,Shinjuku,Tokyo,3.0,2016-07-24,2020-05-01,0,5.244248594852442,4.323483689345567,4.373550604402708,4.539506064441235,4.0,2.0,Old_UI
CusID_07002,28.0,Female,Kuala Lampur,Singapore,5.0,2018-06-09,2021-11-02,0,0.0,3.1386833324966177,6.76740599365804,9.279400652014298,6.920020426435263,2.142395502887529,New_UI
CusID_09909,21.0,Female,Vancouver,British Columbia,9.0,2018-08-24,2020-03-25,0,-1.0,2.636609700185526,5.664670627865178,8.214464320640607,9.786775302855762,3.496845527621597,Old_UI
CusID_09842,36.0,Male,Berlin,Berlin,9.0,2019-08-11,2020-04-29,0,4.84158037165959,8.632744056253085,5.532041962722583,5.960728616987766,2.0,6.965487540206008,Old_UI
CusID_06201,27.0,Female,San Francisco,California,10.0,2019-08-16,2021-02-04,0,8.837905440798238,3.219867234552192,4.358976549390147,8.619270602709014,9.046256832098116,4.509774556501903,New_UI
CusID_06186,27.0,Male,Budapest,Central Hungary,9.0,2019-04-06,2020-11-26,0,0.2864011152738258,8.157968518843251,2.0,3.4018345425458234,2.0,9.540237798711436,New_UI
CusID_00336,25.0,Female,Munich,Bavaria,5.0,2016-11-20,2020-06-24,0,8.901543415142275,2.9308464772861766,8.221004617432662,6.567387772570392,8.708798521779574,1.6909167172428328,New_UI
CusID_04104,32.0,Female,Mumbai,Maharashtra,10.0,2019-11-01,2020-04-23,0,-1.0,2.7518924576906016,8.163624409926724,7.903742964931084,8.962724685407657,1.5426495267748903,Old_UI
CusID_00655,40.0,Female,Delhi,New Delhi,14.0,2019-01-20,2021-09-17,1,4.894602187086475,3.0,5.0,8.926516137386269,9.522419327756896,3.0,Old_UI
CusID_02856,37.0,Male,London,England,7.0,2019-11-04,2020-05-27,0,0.3638154515451853,9.825410569115869,7.377638238071555,,2.0350954552024088,6.750473492710554,New_UI
CusID_06986,34.0,Male,Vienna,Vienna,9.0,2019-03-28,2021-01-17,0,1.2382390156245515,8.41591637342187,5.624333054752676,3.2198367165112383,4.0,9.087165151780724,New_UI
CusID_01573,15.0,Female,?,Ile-De-France,14.0,2017-07-15,2020-11-22,1,5.528351914269538,5.306396260247997,3.494848359828305,8.531927557095557,8.964185965156826,1.939955928853744,Old_UI
CusID_09661,34.0,Not_Specified,Budapest,Central Hungary,14.0,2017-02-13,2021-04-05,1,1.3327819406421166,2.617746646163756,6.38188217401199,2.363310085592788,5.854367017458137,3.398828891740417,New_UI
CusID_04071,31.0,Male,Paris,Ile-De-France,10.0,2016-01-24,2020-01-30,0,1.021969759371158,6.2782135040990905,5.420763009766003,2.297160673060185,5.0,1.0,Old_UI
CusID_06290,38.0,Male,Vienna,Vienna,9.0,2017-11-11,2020-09-10,0,1.930174842614209,9.220028073707716,4.55167908376696,5.7889011121088485,4.0,6.071576973668673,New_UI
CusID_05368,20.0,Female,Paris,Ile-De-France,9.0,2019-10-09,2021-10-31,0,-66.0,5.072051311386279,6.388022286515312,7.918744056768551,9.581028085250123,3.2503331857766447,Old_UI
CusID_09014,20.0,Female,Chennai,Tamil Nadu,3.0,2016-03-23,2021-08-13,0,6.667237296808909,3.021590661734052,8.056279157191787,6.992661331348684,7.715975886497008,1.3665809814102188,New_UI
CusID_00056,39.0,Male,Perth,Western Australia,3.0,2019-03-29,2021-09-10,0,3.5889764868041287,9.199933442107834,8.111041035830478,2.311636681148133,3.0,7.050799232163598,New_UI
CusID_09751,35.0,Female,Berlin,Berlin,6.0,2019-01-13,2021-07-05,1,4.170838170812735,2.2302528641834978,7.97212240970288,0.0,7.726826889573681,3.1424109175938737,Old_UI
CusID_06246,27.0,Female,Berlin,Berlin,6.0,2018-10-26,2020-05-28,0,8.822712409676239,2.1114713690803786,8.686578618951392,2.635827243145037,9.72305927831482,3.0,Old_UI
CusID_07360,25.0,Male,Vienna,Vienna,10.0,2018-05-31,2021-01-10,0,2.0,8.535609920049975,0.9994401518802714,3.984217628618669,0.1680039581203175,5.0,New_UI
CusID_00171,35.0,Female,Shinjuku,Tokyo,,2017-12-05,2021-04-07,0,7.827736209549048,0.2793330144775031,4.0,9.726557531763136,20.438719552196325,3.759750135322189,Old_UI
CusID_08884,39.0,Male,San Francisco,California,6.0,2019-08-09,2020-10-29,0,-66.0,9.648160155198976,6.711077360547925,2.0,1.0,-33.0,Old_UI
CusID_05847,24.0,Male,Bercelona,Catalonia,6.0,2018-01-26,2020-07-18,0,-33.0,8.379468196488386,2.108176823494382,0.8379880286366925,2.074113260519096,7.577283155476105,New_UI
CusID_05762,38.0,Male,Shinjuku,Tokyo,8.0,2016-02-14,2020-03-13,0,1.0,0.0,4.388527661673814,3.665928408012362,0.3084846513562307,4.379367963219079,Old_UI
CusID_01237,22.0,Not_Specified,Munich,Bavaria,12.0,2018-08-14,2021-12-01,1,1.6807689075342982,5.725849375778518,6.722831244001318,3.6931371424101247,0.8312423158790309,3.985802226099503,Old_UI
CusID_08796,22.0,Female,Munich,Bavaria,6.0,2019-02-21,2020-07-11,0,8.071949528016276,1.0083163587457242,8.344927372276617,6.503939624309959,8.378571662254586,2.520876171609701,Old_UI
CusID_03574,,Male,Munich,Bavaria,5.0,2016-04-15,2021-04-24,0,0.7392887165090232,8.60457708482106,2.309729757256395,0.7866640098386206,2.5301536163895486,9.301180327390751,New_UI
CusID_08740,39.0,Female,Los Angeles,California,3.0,2019-08-03,2020-02-05,0,8.47872594811751,3.5392282171495166,9.408977668744672,8.856650083016756,-2.144033677248812,0.9933387275295636,New_UI
CusID_06653,,Not_Specified,?,Tokyo,,2018-09-04,2021-09-24,1,5.249537404486031,3.4574287556783987,5.838194477085532,0.9775149092549476,16.2344317950769,5.596686612663671,New_UI
CusID_00646,29.0,Female,Kolkata,West Bengal,6.0,2017-12-02,2020-04-22,0,7.480082922429522,2.61857753620907,0.4332166000152573,5.753899113650795,9.797358851911456,0.0107006050228533,New_UI
CusID_09646,34.0,Female,Kuala Lampur,Singapore,5.0,2017-12-11,2021-04-13,0,9.08977734349356,2.821054278887104,9.341998079148777,6.703651478386611,7.89403264687795,3.4809451381018133,New_UI
CusID_05089,35.0,Male,Vienna,Vienna,10.0,2017-11-19,2020-04-15,1,3.0,8.409356591416051,4.6895186733196885,0.1879448481770882,2.80691894168414,7.751131074530951,New_UI
CusID_07833,24.0,Male,London,England,4.0,2019-11-10,2021-07-20,0,2.6397190261980232,5.039564972723258,0.5849820491984855,1.9539410893079183,2.235720922913496,9.826621600624115,New_UI
CusID_03899,35.0,Male,New York City,New York,5.0,2016-02-18,2020-02-28,1,2.5399532796245428,3.979993182284959,5.8825146319820325,2.4201010752369925,1.5639925048904046,6.977394624362608,Old_UI
CusID_04917,15.0,Female,Chennai,Tamil Nadu,6.0,2016-09-23,2020-01-21,0,7.325404759400238,1.3569732687368825,5.724397715984452,7.894157297274847,7.2822421641036605,2.657226685655424,Old_UI
CusID_01046,32.0,Male,Berlin,Berlin,6.0,2016-11-14,2020-12-15,0,-11.0,7.296550240634055,6.899747107439784,4.965124976544044,2.0,8.434897674999673,New_UI
CusID_06326,29.0,Male,Perth,Western Australia,8.0,2016-02-07,2020-02-20,0,4.103882220935377,9.798803915093044,0.7887334791203984,1.243169090208036,0.7873912823323395,7.603444413810467,Old_UI
CusID_09989,29.0,Female,Chennai,Tamil Nadu,,2018-06-18,2020-05-09,1,6.318681582180668,5.422644288938914,1.7744654250917988,4.0,7.537404284756469,3.5075703751860363,Old_UI
CusID_06446,35.0,Male,Delhi,New Delhi,5.0,2016-11-02,2021-12-01,0,3.0,4.0,4.123241688064304,,0.6393096689876255,4.087075988542093,New_UI
CusID_03228,26.0,Male,Delhi,New Delhi,3.0,2019-11-04,2020-08-20,0,1.048835712393658,9.496349802003868,2.9387966457786847,4.4870809911897656,2.7001948996446643,3.0,New_UI
CusID_00988,36.0,Female,Bercelona,Catalonia,,2018-05-01,2020-08-24,0,9.177969133541977,1.5506786927148442,9.77260876586372,9.022601283527948,9.862148692071766,4.629932824994448,Old_UI
CusID_01200,33.0,Male,New York City,New York,6.0,2017-10-29,2021-01-03,0,1.1063382852491672,9.332234639535612,2.8263996948814434,2.6736406094594365,1.4144887116655818,0.0,Old_UI
CusID_04231,17.0,Not_Specified,Toronto,Ontario,14.0,2019-12-12,2020-08-10,1,3.3244706930226977,5.4713803184455525,6.659555626794809,3.478578028912226,4.199699287526972,7.727089870922784,Old_UI
CusID_01907,,Not_Specified,San Francisco,California,14.0,2019-05-23,2020-02-29,1,3.028839839744703,3.4726247512342403,7.4751906791638865,,16.072163262060005,4.772645769169637,Old_UI
CusID_05901,,Male,Mumbai,Maharashtra,9.0,2016-11-24,2021-04-10,0,2.180753673031844,6.867936205899012,1.3536009127930495,3.157529934078542,1.0,5.0,New_UI
CusID_07289,15.0,Not_Specified,Shinjuku,Tokyo,14.0,2017-09-24,2020-05-15,1,4.6592813165849565,3.3280673163723367,6.94353786392492,5.613904626580497,3.3980365977217315,6.839682867100451,Old_UI
CusID_03014,31.0,Female,Vienna,Vienna,5.0,2019-03-14,2021-06-29,0,8.801447539649619,2.154748777571857,9.074272053135688,6.4673400573637,7.367614350012285,3.821704076075388,Old_UI
CusID_09314,36.0,Male,Los Angeles,California,7.0,2018-11-16,2021-01-21,0,3.781701034775144,1.0,4.230409098987237,4.569390760560483,2.2038238038859634,7.350496358821843,New_UI
CusID_00388,21.0,Female,London,England,10.0,2017-09-01,2021-08-21,0,9.157636092142086,0.6283070125538674,,7.322788836418033,8.822449532836082,4.464427266558084,New_UI
CusID_08064,31.0,Female,Chennai,Tamil Nadu,10.0,2017-09-25,2020-05-02,0,8.849687876266277,4.092182921549533,8.872946400189017,6.656068166417892,7.799526318620562,0.093043187987983,New_UI
CusID_05536,28.0,Male,?,Bavaria,10.0,2017-04-05,2021-11-01,0,-44.0,7.822293021691188,3.0,0.8562505235110182,3.0,8.770120112619601,New_UI
CusID_09044,22.0,Male,Budapest,Central Hungary,10.0,?,2020-10-02,0,3.3043546818170366,3.0,1.0034643558508332,2.0,2.0,3.0,Old_UI
CusID_02600,37.0,Male,Berlin,Berlin,7.0,2016-03-15,2020-03-15,0,0.7907554513683149,7.480140014014879,5.956130430554486,1.0406301347415516,-7.883732968798705,6.565092442879035,Old_UI
CusID_09155,46.0,Male,New York City,New York,13.0,2019-11-15,2021-10-10,1,0.3811678251876015,6.257971034939331,2.358987711081164,5.035264374283527,1.3561580150722998,6.662126603966344,New_UI
CusID_01797,28.0,Male,Delhi,New Delhi,8.0,2018-08-18,2021-02-06,0,1.0,9.819709567059794,2.222322972898351,2.2776561092190035,4.0,8.119714930858006,New_UI
CusID_08175,42.0,Male,Florence,Tuscany,6.0,2016-07-20,2021-12-09,0,-88.0,8.595139157295769,3.0550853696364912,3.621324775518613,0.4621553257123656,4.0516546034661935,New_UI
CusID_08785,45.0,Female,Florence,Tuscany,8.0,2019-09-21,2020-08-17,1,8.169991763712734,0.7631855924931279,8.358628340640196,8.29310432499598,9.571649309834749,0.1240918143426769,New_UI
CusID_00216,21.0,Female,Vancouver,British Columbia,5.0,2016-02-13,2020-05-25,0,9.389286685194042,4.0,7.422224470822893,,2.0,3.1879713266693352,New_UI
CusID_08214,23.0,Female,Kuala Lampur,Singapore,4.0,2019-09-01,2020-02-29,0,5.0,0.6159561986943165,5.4641726379310045,7.406860789938098,3.0,0.8027786676268054,New_UI
CusID_01665,44.0,Male,New York City,New York,3.0,2018-08-27,2021-09-02,0,1.1911934281241905,3.420392761677061,5.790758155545154,4.710159143295014,2.737216423632429,8.322992785779856,Old_UI
CusID_00232,31.0,Female,Chennai,Tamil Nadu,7.0,2018-08-27,2021-07-09,0,9.641644127016422,3.747971633920388,6.023564440434668,6.514354468253429,8.917099524313757,3.242138084167688,Old_UI
CusID_09432,39.0,Female,?,Western Australia,10.0,2019-03-05,2020-11-09,0,6.4075498730219245,3.9005928319208327,5.0,5.622506741124939,9.388123198533464,3.0370417135510017,New_UI
CusID_01642,,Female,Taipei,Taiwan,8.0,2019-06-04,2020-12-22,0,8.3383745609387,4.123928459370219,9.82344078613148,,8.128055940298756,2.566377608778448,New_UI
CusID_00900,20.0,Male,San Francisco,California,8.0,2016-02-02,2020-12-02,0,1.7184070392594384,9.045582307837538,3.4365075033588552,4.048933166363748,2.0,8.776423858821195,Old_UI
CusID_08997,18.0,Female,Toronto,Ontario,7.0,2018-02-16,2021-07-22,0,8.628719619244592,0.7392291869182435,7.732331665239013,7.723312329025243,4.0,3.0,Old_UI
CusID_01009,15.0,Not_Specified,Mumbai,Maharashtra,13.0,2019-11-19,2020-08-23,1,2.122170719125116,1.4395663921422357,,2.2393150306598577,4.283700124989609,4.127752850290337,Old_UI
CusID_04632,37.0,Female,Sydney,New South Wales,7.0,2018-10-02,2020-04-29,0,9.329047204961787,0.703275918561534,7.667640167254987,6.943670585993125,9.283683702926805,5.314701527069821,Old_UI
CusID_01571,35.0,Not_Specified,Vancouver,British Columbia,14.0,2019-12-30,2020-10-30,1,1.7660997791289432,3.3101164651525306,6.303598290394295,6.630526079516809,2.0,6.78810734530419,New_UI
CusID_02792,32.0,Male,Bercelona,Catalonia,3.0,2019-09-21,2020-04-14,0,3.727127133769345,0.0,6.575709290497246,2.8008028425782907,1.8326220302515828,9.768742599611253,New_UI
CusID_09447,32.0,Male,New York City,New York,9.0,2019-01-16,2021-10-24,0,2.029141463091856,7.531706292325559,6.967239845401798,4.621033114360785,2.0,9.161145780984873,Old_UI
CusID_06392,20.0,Male,?,New South Wales,6.0,2019-06-19,2021-02-13,0,2.969239704958842,0.0,0.4897791599253029,4.749712230923408,1.464840093617139,8.930113205381168,New_UI
CusID_08468,25.0,Female,Budapest,Central Hungary,6.0,2019-12-09,2021-02-14,0,9.308307998787395,3.0,7.540156051615872,7.931925729499158,9.81409250496223,4.527719917519297,New_UI
CusID_06993,23.0,Female,Shinjuku,Tokyo,3.0,2016-02-19,2020-09-03,0,6.68132524584575,2.043226492577685,5.281380281251223,6.5735241522138,3.0,3.0054522766076546,Old_UI
CusID_08059,15.0,Not_Specified,Bercelona,Catalonia,14.0,2019-11-04,2020-08-08,1,2.205484151144532,4.152790215541448,7.943223698105795,3.9266652264674335,5.617177231432649,3.18075569325419,Old_UI
CusID_05136,30.0,Female,?,California,5.0,2018-09-11,2021-07-20,0,8.314666488299956,1.1034096935755455,9.978309919668185,,8.750538064708186,3.5812128447345426,New_UI
CusID_09870,34.0,Female,Vienna,Vienna,3.0,2016-02-13,2021-03-15,0,6.932411007528397,4.0,9.351774483640447,6.3323136739641415,1.0,4.727734898460349,Old_UI
CusID_04852,20.0,Male,Mumbai,Maharashtra,8.0,?,2021-01-17,0,1.0921616302826491,1.0,2.0,2.618381588923634,1.7762745341787094,-44.0,New_UI
CusID_06797,17.0,Female,Perth,Western Australia,,2017-11-29,2020-09-28,1,4.80825211087112,0.675937052270936,6.92000883539544,2.0,0.0,2.2033805682553145,Old_UI
CusID_07852,24.0,Male,Florence,Tuscany,7.0,2016-05-31,2021-04-09,0,1.177006719353607,9.830253585965313,3.0,5.288842141828316,2.127581344326786,7.753509443828884,New_UI
CusID_09066,37.0,Male,Budapest,Central Hungary,9.0,2016-05-14,2020-06-29,0,1.6302484167897109,9.238776220352657,6.392265030813174,1.2427886465548572,0.4752887963539147,8.64751119463782,Old_UI
CusID_07663,31.0,Not_Specified,Kolkata,West Bengal,11.0,2016-05-14,2020-02-23,1,2.7165108237987137,4.016093413055268,6.599470176395568,0.0817012032498555,5.1117868878306725,4.484357425300106,Old_UI
CusID_02965,50.0,Female,Budapest,Central Hungary,12.0,2018-03-01,2020-09-05,1,6.292131991865546,0.8830136092180236,6.313266306088724,9.940088826922668,8.022372852933243,4.085895077853514,Old_UI
